Name	Page Width	Page Height	Columns	Rows	Left Margin	Top Margin	Width	Height	Width plus gap	Height plus gap	Corner type	Radius X	Paper type	Orientation	Half page perf skip	Half page row count	Description	Units
8160 Address	12240	15840	3	10	271	720	3780	1440	3960	1440	1	360	0	1	0	0		1440
8162 Address	12240	15840	2	7	225	1200	5760	1920	6031	1920	1	270	0	1	0	0		1440
8162 Address	15840	12240	7	2	1200	225	1920	5760	1920	6031	1	270	0	0	0	0		1440
8163 Address/Shipping	12240	15840	2	5	225	720	5760	2880	6031	2880	1	540	0	1	0	0		1440
8163 Address/Shipping	15840	12240	5	2	720	225	2880	5760	2880	6031	1	540	0	0	0	0		1440
8253 Ink Jet Label for Color Printing	12240	15840	2	5	225	720	5760	2880	6031	2880	1	540	0	1	0	0		1440
8253 Ink Jet Label for Color Printing	15840	12240	5	2	720	225	2880	5760	2880	6031	1	540	0	0	0	0		1440
8325 Self-Seal Mailer	8.5	11	1	3	0	0	8.5	3.469	8.5	3.469	0	0	0	1	0	0		1
8371 Business Card	12240	15840	2	5	1080	720	5040	2880	5040	2880	0	0	0	1	0	0		1440
8371 Business Card	15840	12240	5	2	720	1080	2880	5040	2880	5040	0	0	0	0	0	0		1440
8389 Glossy Photo Quality Post Card	8.5	11	1	2	1.25	1.25	6	4	6	4.5	0	0	0	1	0	0		1
8660 Clear Address	12240	15840	3	10	271	720	3780	1440	3960	1440	1	360	0	1	0	0		1440
8662 Clear Address	12240	15840	2	7	225	1200	5760	1920	6031	1920	1	270	0	1	0	0		1440
8662 Clear Address	15840	12240	7	2	1200	225	1920	5760	1920	6031	1	270	0	0	0	0		1440
8663 Clear Address/Shipping	12240	15840	2	5	225	720	5760	2880	6031	2880	1	540	0	1	0	0		1440
8663 Clear Address/Shipping	15840	12240	5	2	720	225	2880	5760	2880	6031	1	540	0	0	0	0		1440
LSK-3 Index Maker 3 Tab	12240	15840	2	20	720	720	4500	720	6300	720	1	360	0	1	0	0		1440
LSK-5 Index Maker 5 Tab	12240	15840	4	20	432	720	2520	720	2952	720	0	0	0	1	0	0		1440
LSK-8 Index Maker 8 Tab	12240	15840	4	20	720	720	1620	720	3060	720	0	0	0	1	0	0		1440
Protect 'n Tab Sheet (Colors)	12240	15840	1	15	7848	1544	2952	446	3038	958	0	0	0	1	0	0		1440
Protect 'n Tab Sheet (White)	12240	15840	1	15	7848	958	2952	446	3038	958	0	0	0	1	0	0		1440
R-4013 Address	6120	17280	1	12	540	45	5040	1351	5040	1440	1	180	1	1	0	0		1440
Ready Index (All Styles)	12240	15840	1	1	0	0	12240	15840	12240	15840	0	0	0	1	0	0		1440
TitleFrame 1'' Spine Insert	15840	12240	1	6	540	2070	14760	900	14760	1440	1	720	0	0	0	0		1440
TitleFrame 1.5'' Spine Insert	15840	12240	1	4	540	2070	14760	1620	14760	2160	1	720	0	0	0	0		1440
TitleFrame 2'' Spine Insert	15840	12240	1	3	540	2070	14760	2340	14760	2880	1	720	0	0	0	0		1440
TitleFrame Cover  - Landscape	15840	12240	1	1	720	720	14400	10800	14400	10800	1	720	0	0	0	0		1440
TitleFrame Cover  - Portrait	12240	15840	1	1	720	720	10800	14400	10800	14400	1	720	0	1	0	0		1440
WorkSaver 1/3 Cut  Insert Tabs	12240	10080	1	10	1119	1440	9936	684	10224	719	0	0	0	1	0	0		1440
WorkSaver 1/5 Cut  Insert Tabs	12240	10080	2	10	374	1482	5717	684	5760	719	0	0	0	1	0	0		1440
WorkSaver 5-Tab Inserts	12240	15840	2	30	360	720	5760	480	5760	480	0	0	0	1	0	0		1440
WorkSaver 8-Tab Inserts	12240	15840	2	30	1080	720	4320	480	5760	480	0	0	0	1	0	0		1440
3-1/2'' Diskette Tab 4431SWM	6480	5760	1	2	1260	45	3960	2790	3960	2880	1	180	1	1	0	0		1440
35 MM Film Slide L7656	11906	16920	4	21	315	945	2610	630	2880	720	1	340	0	1	0	0		1440
5-1/4'' Diskette Tab 6415SWL	7200	2880	1	2	720	45	5760	1351	5760	1440	1	180	1	1	0	0		1440
Address - Clear L7562	11906	16920	2	8	265	779	5616	1920	5760	1920	1	340	0	1	0	0		1440
Address - Clear L7562	16920	11906	8	2	779	265	1920	5616	1920	5760	1	340	0	0	0	0		1440
Address - Clear L7563	11906	16920	2	7	265	900	5616	2160	5760	2160	1	340	0	1	0	0		1440
Address - Clear L7563	16920	11906	7	2	900	265	2160	5616	2160	5760	1	340	0	0	0	0		1440
Address - Clear L7565	11906	16920	2	4	265	780	5616	3840	5760	3840	1	340	0	1	0	0		1440
Address - Clear L7565	16920	11906	4	2	780	265	3840	5616	3840	5760	1	340	0	0	0	0		1440
Address / Shipping L7166	11906	16920	2	3	265	540	5616	5280	5760	5280	1	340	0	1	0	0		1440
Address / Shipping L7166	16920	11906	3	2	540	265	5280	5616	5280	5760	1	340	0	0	0	0		1440
Address 10236-3	19080	4320	3	2	720	60	5760	2041	5940	2160	1	180	1	1	0	0		1440
Address 10723-1	7920	2880	1	2	927	68	6066	1304	6066	1440	1	180	1	1	0	0		1440
Address 10723-3	20430	2880	3	2	946	68	6066	1304	6236	1440	1	180	1	1	0	0		1440
Address 4143	13680	2880	2	2	1008	45	5760	1351	5904	1440	1	180	1	1	0	0		1440
Address 4144	13680	2880	3	2	1296	45	3600	1351	3744	1440	1	180	1	1	0	0		1440
Address 4150 Landscape	5040	1577	1	1	0	0	5040	1577	5040	1577	1	180	1	0	0	0		1440
Address 4150 Portrait	1577	5040	1	1	0	0	1577	5040	1577	5040	1	180	1	1	0	0		1440
Address 4151 Clear Landscape	5040	1577	1	1	0	0	5040	1577	5040	1577	1	180	1	0	0	0		1440
Address 4151 Clear Portrait	1577	5040	1	1	0	0	1577	5040	1577	5040	1	180	1	1	0	0		1440
